"id","surfweight","year","age","gender","ethnicity","education","labour_force_status","partner","parent","number_children","tenure","hh_income","deprivation_area","migrant","disability","home_afford","life_satisfy","life_worth","health","tereo","gov_tereo","selfactual","trust","trust_police","trust_media","trust_parliament","voted","material_wellbeing_index","housecold","housedamp","moves","access_medical","access_green_space","access_public_transport","neighbourhood_connection","neighbourhood_crime_change","victim","discriminated_against","lonely_four_weeks","easy_hard_to_talk","number_children_text","moves_five_years_text","age_gp","hh_income_gp","weekly_income","annual_income","weekly_hours"
539,837.7709,2021,89,"Female","European/Other","Secondary school","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",46022,10,"NZ with overseas parent(s)","Non-disabled",7,10,10,"Very Good","None or almost none","Disagree","Very easy to be myself",8,9,5,6,"Yes",16,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"65+",1,"   500.1",23184,11
540,113.6625,2021,52,"Female","Asian","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned without mortgage",86919,8,"NZ with NZ parents","Non-disabled",7,8,7,"Very Good","None or almost none","Neither agree nor disagree","Easy to be myself",7,4,3,4,"Yes",20,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Easy","0",NA,"45-54",2,"   281.4",12880,16
541,5033.305,2021,28,"Male","European/Other","Degree","Employed","Not partnered","Parent",3,"Rented",21045,10,"NZ with NZ parents","Non-disabled",8,7,10,"Fair","Conversational","Agree","Easy to be myself",7,4,5,6,"Yes",15,"Yes, always","Yes, always",NA,NA,NA,NA,NA,"A lot more",0,1,"None of the time","Very easy","3",NA,"25-34",1,"  1438.0",65872,35
542,891.5598,2021,55,"Female","European/Other","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",37608,10,"NZ with NZ parents","Disabled",5,7,10,"Poor","Basic","Neither agree nor disagree","Sometimes easy, sometimes hard",5,7,2,3,"Yes",12,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",1,0,"Some of the time","Very hard","0",NA,"55-64",1,"   773.3",35328,44
543,138.8641,2021,15,"Male","Asian","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",130676,1,"Long-term migrant","Non-disabled",8,7,9,"Very Good","None or almost none","Agree","Very easy to be myself",5,0,4,7,"Yes",17,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,1,"None of the time","Easy","0",NA,"15-24",3,"   890.5",41216,57
544,6911.301,2021,42,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Parent",2,"Owned without mortgage",144598,8,"NZ with NZ parents","Non-disabled",7,9,10,"Excellent","Basic","Neither agree nor disagree","Very easy to be myself",7,8,7,7,"Yes",16,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Very easy","2",NA,"35-44",3,"   924.7",42320,106
545,7319.26,2021,62,"Male","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned without mortgage",187049,2,"NZ with NZ parents","Non-disabled",7,6,7,"Fair","Basic","Agree","Very easy to be myself",8,8,3,5,"Yes",9,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,1,"None of the time","Easy","0",NA,"55-64",3,"   691.1",32016,41
546,2927.704,2021,26,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",66254,10,"NZ with overseas parent(s)","Non-disabled",5,6,7,"Poor","Basic","Agree","Easy to be myself",5,8,5,7,"No",14,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Very easy","0",NA,"25-34",2,"   298.6",13616,56
547,602.9279,2021,48,"Male","Māori","Degree","Employed","Not partnered","Not a parent",0,"Rented",43881,9,"Long-term migrant","Non-disabled",4,4,7,"Fair","Basic","Neither agree nor disagree","Sometimes easy, sometimes hard",7,9,1,2,"Yes",7,"Yes, sometimes","No",NA,NA,NA,NA,NA,"Moved here recently",0,0,"Some of the time","Hard","0",NA,"45-54",1,"   321.3",15088,10
548,1664.036,2021,67,"Female","European/Other","Secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",42679,6,"NZ with overseas parent(s)","Non-disabled",5,4,7,"Fair","None or almost none","Disagree","Very easy to be myself",7,9,5,4,"Yes",14,"Yes, often","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"   329.7",15088,32
549,199.4579,2021,82,"Female","Māori","Post-secondary NCEA/diploma","Not in labour force","Not partnered","Not a parent",0,"Owned with mortgage",47699,8,"NZ with overseas parent(s)","Non-disabled",2,8,6,"Good","None or almost none","Neither agree nor disagree","Easy to be myself",0,5,0,0,"Yes",14,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A little more",0,0,"Some of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"   349.9",15824,18
550,1132.119,2021,87,"Male","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Owned with mortgage",11178,5,"NZ with NZ parents","Non-disabled",5,2,8,"Poor","None or almost none","Agree","Very easy to be myself",8,9,4,4,"Yes",19,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Very easy","0",NA,"65+",1,"   636.4",29440,36
551,356.3727,2021,32,"Female","Māori","Secondary school","Not in labour force","Partnered","Parent",3,"Rented",45889,4,"Long-term migrant","Non-disabled",10,9,9,"Excellent","None or almost none","Disagree","Easy to be myself",8,10,6,10,"No",13,"No","No",NA,NA,NA,NA,NA,"No crime here",0,0,"All of the time","Very hard","3",NA,"25-34",1,"   320.0",14352,32
552,3156.403,2021,25,"Female","European/Other","Less than secondary school","Employed","Partnered","Parent",1,"Rented",68239,6,"NZ with NZ parents","Non-disabled",9,9,9,"Good","None or almost none","Strongly agree","Very easy to be myself",5,9,7,7,"No",16,"Yes, often","No",NA,NA,NA,NA,NA,"No crime here",0,0,"None of the time","Hard","1",NA,"25-34",2,"   714.3",32752,48
553,231.736,2021,87,"Female","Māori","Secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",41710,5,"Long-term migrant","Non-disabled",8,10,8,"Good","None or almost none","Disagree","Easy to be myself",8,9,0,3,"Yes",20,"No","No",NA,NA,NA,NA,NA,"About the same",0,1,"None of the time","Hard","0",NA,"65+",1,"   721.0",33120,24
554,4542.942,2021,60,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",145846,3,"NZ with NZ parents","Non-disabled",10,0,10,"Excellent","None or almost none","Neither agree nor disagree","Very easy to be myself",6,8,3,5,"No",12,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",1,0,"A little of the time","Hard","0",NA,"55-64",3,"   417.8",19504,32
555,7743.343,2021,35,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Parent",1,"Rented",60858,9,"NZ with NZ parents","Non-disabled",3,8,5,"Very Good","None or almost none","Disagree","Sometimes easy, sometimes hard",3,5,0,0,"Yes",14,"Yes, always","No",NA,NA,NA,NA,NA,"A little less",1,0,"A little of the time","Very hard","1",NA,"35-44",2,"   776.0",35328,36
556,2958.246,2021,49,"Female","Māori","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",86291,7,"Long-term migrant","Non-disabled",5,7,8,"Very Good","None or almost none","Agree","Easy to be myself",6,4,3,3,"Yes",17,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Easy","0",NA,"45-54",2,"   159.7",7360,22
557,4057.743,2021,62,"Male","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",30003,6,"NZ with NZ parents","Non-disabled",9,8,9,"Good","None or almost none","Disagree","Very easy to be myself",6,9,3,5,"Yes",14,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"55-64",1,"   720.7",32752,32
558,5235.592,2021,70,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned without mortgage",34834,10,"NZ with NZ parents","Non-disabled",5,4,5,"Fair","None or almost none","Agree","Easy to be myself",5,5,4,5,"Yes",16,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"Most of the time","Easy","0",NA,"65+",1,"    10.1",736,2
559,1485.605,2021,28,"Male","Māori","Degree","Not in labour force","Not partnered","Not a parent",0,"Owned without mortgage",150133,8,"Medium-term migrant","Non-disabled",7,7,8,"Good","None or almost none","Agree","Easy to be myself",7,8,3,5,"Yes",17,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",1,1,"A little of the time","Easy","0",NA,"25-34",3,"   508.7",23184,21
560,423.4166,2021,74,"Male","Pacific","Less than secondary school","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",45552,7,"NZ with NZ parents","Disabled",4,8,7,"Good","None or almost none","Strongly disagree","Easy to be myself",7,8,5,6,"Yes",12,"No","No",NA,NA,NA,NA,NA,"No crime here",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"   302.3",14352,26
561,1605.828,2021,56,"Male","European/Other","Degree","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",149375,6,"NZ with NZ parents","Non-disabled",10,9,9,"Very Good","None or almost none","Disagree","Very easy to be myself",9,10,8,9,"Yes",17,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"55-64",3,"   866.4",40112,45
562,1561.254,2021,52,"Female","European/Other","Less than secondary school","Not in labour force","Partnered","Parent",1,"Owned without mortgage",107921,9,"NZ with NZ parents","Non-disabled",8,7,7,"Fair","Basic","Neither agree nor disagree","Easy to be myself",3,8,2,3,"Yes",20,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Easy","1",NA,"45-54",3,"   597.8",27232,57
563,569.3007,2021,16,"Male","Māori","Secondary school","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",58197,9,"NZ with unknown origin parents","Non-disabled",5,5,7,"Fair","None or almost none","Agree","Easy to be myself",3,0,0,0,"Yes",4,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","0",NA,"15-24",2,"   525.5",23920,28
564,1732.199,2021,49,"Male","Māori","Post-secondary NCEA/diploma","Employed","Not partnered","Not a parent",0,"Owned without mortgage",28342,2,"NZ with NZ parents","Non-disabled",6,4,5,"Fair","Basic","Agree","Easy to be myself",6,8,4,7,"Yes",17,"Not applicable","No",NA,NA,NA,NA,NA,"Moved here recently",0,0,"Some of the time","Sometimes easy, sometimes hard","0",NA,"45-54",1,"   730.3",33488,24
565,2628.65,2021,64,"Male","Māori","Degree","Employed","Not partnered","Not a parent",0,"Owned with mortgage",73205,2,"NZ with NZ parents","Non-disabled",7,8,7,"Very Good","None or almost none","Agree","Very easy to be myself",8,8,7,8,"Yes",19,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Very easy","0",NA,"55-64",2,"  1074.9",49680,37
566,2753.678,2021,18,"Male","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",25406,8,"NZ with NZ parents","Non-disabled",5,10,10,"Good","None or almost none","Agree","Very easy to be myself",8,8,7,9,"No",16,"No","No",NA,NA,NA,NA,NA,"No crime here",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"15-24",1,"   374.1",16928,32
567,11413.94,2021,82,"Female","European/Other","Secondary school","Employed","Not partnered","Not a parent",0,"Rented",46091,9,"NZ with overseas parent(s)","Non-disabled",5,8,8,"Good","None or almost none","Neither agree nor disagree","Very easy to be myself",8,7,5,7,"Yes",16,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Easy","0",NA,"65+",1,"   466.6",21712,30
568,1007.725,2021,15,"Male","Asian","Less than secondary school","Employed","Not partnered","Not a parent",0,"Rented",54753,9,"NZ with overseas parent(s)","Disabled",6,6,2,"Fair","Conversational","Strongly agree","Easy to be myself",1,2,1,2,"Not eligible",19,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",1,1,"Some of the time","Sometimes easy, sometimes hard","0",NA,"15-24",2,"   941.9",43424,27
569,1025.078,2021,45,"Female","Asian","Post-secondary NCEA/diploma","Not in labour force","Partnered","Not a parent",0,"Rented",112391,5,"Long-term migrant","Non-disabled",5,9,9,"Very Good","None or almost none","Strongly agree","Very easy to be myself",6,6,5,6,"Yes",17,"No","Yes, sometimes",NA,NA,NA,NA,NA,"No crime here",0,0,"None of the time","Very hard","0",NA,"45-54",3,"   412.5",19136,30
570,2993.2,2021,87,"Female","European/Other","Degree","Employed","Partnered","Not a parent",0,"Rented",83738,5,"NZ with NZ parents","Non-disabled",8,10,10,"Excellent","None or almost none","Neither agree nor disagree","Very easy to be myself",8,8,8,7,"Yes",20,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","0",NA,"65+",2,"    70.9",2944,5
571,2884.111,2021,21,"Male","European/Other","Secondary school","Employed","Partnered","Parent",2,"Rented",51192,10,"NZ with NZ parents","Non-disabled",8,6,8,"Good","Basic","Agree","Very easy to be myself",5,5,8,5,"No",16,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"All of the time","Easy","2",NA,"15-24",2,"   607.6",27600,32
572,2029.85,2021,27,"Male","European/Other","Less than secondary school","Employed","Not partnered","Parent",1,"Rented",33908,6,"NZ with NZ parents","Non-disabled",4,7,10,"Fair","Basic","Strongly agree","Very easy to be myself",1,4,0,3,"Yes",5,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"No crime here",0,1,"None of the time","Sometimes easy, sometimes hard","1",NA,"25-34",1,"   255.5",12144,16
573,1725.698,2021,81,"Female","Māori","Secondary school","Employed","Partnered","Not a parent",0,"Rented",20483,8,"Medium-term migrant","Non-disabled",0,10,7,"Fair","None or almost none","Agree","Hard to be myself",3,6,8,5,"Yes",8,"Yes, always","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,1,"A little of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"   309.0",14352,25
574,7361.551,2021,73,"Male","European/Other","Degree","Employed","Not partnered","Not a parent",0,"Owned with mortgage",154164,6,"Long-term migrant","Non-disabled",10,6,10,"Good","Basic","Strongly agree","Sometimes easy, sometimes hard",8,8,7,7,"Yes",20,"No","No",NA,NA,NA,NA,NA,"No crime here",1,1,"A little of the time","Easy","0",NA,"65+",3,"   889.8",40480,42
575,647.106,2021,26,"Male","Māori","Degree","Employed","Partnered","Parent",1,"Rented",148195,10,"Recent migrant","Non-disabled",7,9,10,"Excellent","Basic","Strongly agree","Very easy to be myself",7,8,3,5,"No",18,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","1",NA,"25-34",3,"  1166.3",54096,32
576,1303.556,2021,35,"Male","European/Other","Post-secondary NCEA/diploma","Not in labour force","Partnered","Parent",3,"Owned without mortgage",107827,3,"Long-term migrant","Non-disabled",5,9,8,"Good","Basic","Agree","Very easy to be myself",7,9,5,5,"Yes",10,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Easy","3",NA,"35-44",3,"   438.8",20240,18
577,2103.489,2021,47,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Parent",2,"Owned without mortgage",63266,8,"NZ with NZ parents","Non-disabled",8,8,7,"Good","Basic","Neither agree nor disagree","Easy to be myself",7,9,4,7,"Yes",14,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","2",NA,"45-54",2,"   513.8",23920,32
578,4585.736,2021,77,"Male","European/Other","Secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",34825,1,"NZ with NZ parents","Non-disabled",8,8,6,"Fair","None or almost none","Agree","Easy to be myself",9,8,7,8,"Yes",14,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Hard","0",NA,"65+",1,"   532.1",24288,14
579,2716.959,2021,35,"Male","European/Other","Degree","Employed","Partnered","Parent",3,"Owned without mortgage",57354,4,"NZ with overseas parent(s)","Non-disabled",7,8,8,"Excellent","None or almost none","Disagree","Easy to be myself",6,8,6,6,"Yes",19,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"No crime here",0,0,"Some of the time",NA,"3",NA,"35-44",2,"  1133.0",52256,42
580,5559.011,2021,35,"Female","European/Other","Secondary school","Employed","Partnered","Parent",2,"Owned without mortgage",99244,8,"Medium-term migrant","Non-disabled",4,7,8,"Good","None or almost none","Neither agree nor disagree","Easy to be myself",3,8,5,3,"No",13,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","2",NA,"35-44",2,"   687.1",31648,32
581,1032.162,2021,85,"Female","European/Other","Secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",37881,8,"NZ with NZ parents","Disabled",10,5,5,"Fair","None or almost none","Neither agree nor disagree","Very easy to be myself",6,4,6,5,"No",19,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",1,0,"Some of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"   470.8",22080,32
582,8537.233,2021,48,"Female","European/Other","Degree","Employed","Partnered","Not a parent",0,"Owned without mortgage",117346,4,"NZ with NZ parents","Non-disabled",9,8,9,"Very Good","None or almost none","Agree","Very easy to be myself",8,8,6,6,"Yes",19,"No","No",NA,NA,NA,NA,NA,"A little more",1,0,"A little of the time","Easy","0",NA,"45-54",3,"   848.2",38640,26
583,1840.474,2021,71,"Female","European/Other","Secondary school","Not in labour force","Not partnered","Not a parent",0,"Owned without mortgage",38247,9,"NZ with NZ parents","Disabled",5,8,8,"Poor","None or almost none","Strongly agree","Very easy to be myself",5,8,3,5,"Yes",20,"No","No",NA,NA,NA,NA,NA,"A lot less",0,0,"None of the time","Very easy","0",NA,"65+",1,"   442.6",20240,12
584,3743.79,2021,21,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned with mortgage",131908,7,"NZ with NZ parents","Non-disabled",4,8,10,"Very Good","None or almost none","Agree","Very easy to be myself",8,8,6,7,"Yes",19,"No","No",NA,NA,NA,NA,NA,"A little more",1,0,"Some of the time","Very easy","0",NA,"15-24",3,"   303.9",14352,42
585,1196.374,2021,46,"Male","European/Other","Degree","Not in labour force","Partnered","Parent",2,"Owned with mortgage",154218,3,"Long-term migrant","Non-disabled",9,8,7,"Very Good","Basic","Strongly agree","Easy to be myself",8,8,7,8,"Yes",19,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","2",NA,"45-54",3,"  3096.7",142416,40
586,3370.628,2021,39,"Male","European/Other","Degree","Employed","Partnered","Parent",1,"Owned without mortgage",149314,1,"NZ with NZ parents","Non-disabled",6,9,9,"Good","None or almost none","Agree","Very easy to be myself",6,7,5,7,"Yes",19,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","1",NA,"35-44",3,"   401.5",18768,18
587,2648.077,2021,68,"Male","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Rented",67115,10,"NZ with overseas parent(s)","Non-disabled",10,10,10,"Very Good","None or almost none","Strongly agree","Easy to be myself",10,10,0,0,"Yes",20,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Hard","0",NA,"65+",2,"   645.9",29808,41
588,704.6828,2021,19,"Male","European/Other","Post-secondary NCEA/diploma","Not in labour force","Not partnered","Parent",1,"Rented",20797,9,"Long-term migrant","Non-disabled",7,5,7,"Poor","None or almost none","Agree","Sometimes easy, sometimes hard",4,4,2,4,"Yes",10,"Yes, always","Yes, always",NA,NA,NA,NA,NA,"Moved here recently",0,0,"Most of the time","Easy","1",NA,"15-24",1,"   333.7",15456,41
589,919.1563,2021,75,"Male","European/Other","Post-secondary NCEA/diploma","Not in labour force","Not partnered","Not a parent",0,"Rented",59748,9,"NZ with NZ parents","Non-disabled",7,8,8,"Very Good","None or almost none","Disagree","Very easy to be myself",6,10,6,6,"Yes",19,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"65+",2,"   352.4",15824,14
590,945.3981,2021,59,"Female","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",68886,8,"NZ with NZ parents","Non-disabled",2,5,6,"Very Good","Basic","Agree","Very easy to be myself",8,8,8,8,"Yes",12,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A lot more",0,0,"Some of the time","Easy","0",NA,"55-64",2,"   511.3",23184,29
591,1347.678,2021,16,"Female","European/Other","Degree","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",214297,3,"NZ with NZ parents","Non-disabled",8,9,10,"Very Good","None or almost none","Neither agree nor disagree","Easy to be myself",8,8,5,4,"Yes",18,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Easy","0",NA,"15-24",3,"   587.9",26864,34
592,200.9608,2021,20,"Male","Māori","Post-secondary NCEA/diploma","Not in labour force","Not partnered","Not a parent",0,"Owned with mortgage",139814,2,"NZ with NZ parents","Disabled",7,7,10,"Excellent","None or almost none","Neither agree nor disagree","Very easy to be myself",6,8,0,2,"No",8,"Yes, sometimes","No",NA,NA,NA,NA,NA,"About the same",0,0,"Most of the time","Hard","0",NA,"15-24",3,"   421.0",19504,41
593,107.2895,2021,36,"Male","Māori","Degree","Not in labour force","Partnered","Parent",2,"Owned without mortgage",128222,9,"NZ with overseas parent(s)","Non-disabled",5,7,7,"Good","Basic","Agree","Very easy to be myself",5,7,4,1,"Yes",7,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Easy","2",NA,"35-44",3,"   194.5",9200,48
594,1313.213,2021,49,"Male","European/Other","Less than secondary school","Not in labour force","Partnered","Parent",1,"Owned without mortgage",222211,5,"NZ with NZ parents","Non-disabled",9,9,10,"Excellent","Basic","Agree","Very easy to be myself",9,10,9,9,"Yes",20,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"None of the time","Very easy","1",NA,"45-54",3,"   305.6",13984,20
595,1178.466,2021,22,"Male","Māori","Secondary school","Employed","Not partnered","Not a parent",0,"Rented",90158,7,"NZ with overseas parent(s)","Non-disabled",7,9,10,"Excellent","None or almost none","Strongly agree","Very easy to be myself",8,9,5,6,"Yes",17,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"Moved here recently",0,0,"A little of the time","Very easy","0",NA,"15-24",2,"   304.2",13984,26
596,2213.292,2021,62,"Male","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",26282,3,"Long-term migrant","Disabled",8,8,7,"Good","None or almost none","Agree","Easy to be myself",8,8,2,7,"Yes",14,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"55-64",1,"   532.5",24656,36
597,6536.888,2021,42,"Female","European/Other","Secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",62342,5,"Long-term migrant","Non-disabled",5,6,8,"Good","None or almost none","Agree","Easy to be myself",8,8,5,5,"Yes",18,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Very easy","0",NA,"35-44",2,"   296.8",13616,12
598,3791.241,2021,75,"Female","European/Other","Secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",86558,2,"Long-term migrant","Non-disabled",0,9,9,"Excellent","None or almost none","Neither agree nor disagree","Very easy to be myself",8,10,4,6,"Yes",18,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Easy","0",NA,"65+",2,"   325.8",14720,18
599,6497.438,2021,80,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned with mortgage",31972,7,"NZ with NZ parents","Non-disabled",6,7,8,"Good","None or almost none","Disagree","Easy to be myself",5,8,4,5,"Yes",16,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Easy","0",NA,"65+",1,"   206.8",9568,4
600,3606.653,2021,35,"Female","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Not a parent",0,"Owned without mortgage",103804,6,"NZ with NZ parents","Non-disabled",10,8,10,"Very Good","None or almost none","Agree","Very easy to be myself",7,8,5,6,"Yes",18,"Yes, always","Yes, always",NA,NA,NA,NA,NA,"About the same",1,0,"None of the time","Easy","0",NA,"35-44",3,"   218.0",9936,16
601,1087.216,2021,66,"Male","Māori","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned with mortgage",26569,7,"NZ with NZ parents","Non-disabled",9,10,9,"Very Good","None or almost none","Agree","Very easy to be myself",7,9,5,6,"Yes",18,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"65+",1,"  1199.8",54832,30
602,224.351,2021,59,"Female","Māori","Secondary school","Not in labour force","Partnered","Not a parent",0,"Owned without mortgage",83545,9,"Long-term migrant","Non-disabled",3,5,5,"Good","None or almost none","Agree","Sometimes easy, sometimes hard",8,9,7,9,"Yes",11,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A lot less",1,1,"A little of the time","Very hard","0",NA,"55-64",2,"   531.9",24656,16
603,4550.339,2021,21,"Female","European/Other","Less than secondary school","Employed","Not partnered","Not a parent",0,"Owned without mortgage",59063,8,"NZ with NZ parents","Disabled",7,10,10,"Good","None or almost none","Strongly agree","Sometimes easy, sometimes hard",8,9,7,9,"Yes",8,"Not applicable","No",NA,NA,NA,NA,NA,"Moved here recently",1,0,"Some of the time","Sometimes easy, sometimes hard","0",NA,"15-24",2,"   326.4",15088,4
604,4550.339,2021,25,"Male","European/Other","Degree","Employed","Partnered","Not a parent",0,"Rented",147639,4,"NZ with NZ parents","Non-disabled",3,8,8,"Good","Basic","Strongly agree","Very easy to be myself",8,6,5,5,"Yes",9,"Yes, always","Yes, always",NA,NA,NA,NA,NA,"A little more",1,0,"A little of the time","Sometimes easy, sometimes hard","0",NA,"25-34",3,"   313.5",14352,25
605,1131.87,2021,29,"Female","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",85364,7,"NZ with NZ parents","Non-disabled",4,6,7,"Fair","None or almost none","Neither agree nor disagree","Very easy to be myself",6,6,7,7,"Yes",12,"No","Yes, sometimes",NA,NA,NA,NA,NA,"No crime here",0,0,"None of the time","Very easy","0",NA,"25-34",2,"   639.2",29072,41
606,1131.87,2021,45,"Male","European/Other","Secondary school","Not in labour force","Partnered","Not a parent",0,"Rented",109930,7,"Recent migrant","Non-disabled",8,8,8,"Excellent","None or almost none","Agree","Very easy to be myself",8,10,9,9,"No",14,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Very easy","0",NA,"45-54",3,"  1223.7",56304,40
607,1671.418,2021,67,"Female","European/Other","Secondary school","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",47950,1,"Long-term migrant","Disabled",10,10,10,"Good","None or almost none","Disagree","Easy to be myself",8,5,4,5,"Yes",16,"No","No",NA,NA,NA,NA,NA,"No crime here",0,0,"Some of the time","Easy","0",NA,"65+",1,"   711.3",32384,29
608,1861.833,2021,33,"Male","European/Other","Less than secondary school","Not in labour force","Not partnered","Parent",1,"Rented",36583,10,"NZ with unknown origin parents","Non-disabled",10,4,4,"Very Good","Basic","Agree","Easy to be myself",4,5,4,4,"No",0,"Not applicable","Yes, always",NA,NA,NA,NA,NA,"A lot more",0,0,"A little of the time","Easy","1",NA,"25-34",1,"   430.9",19872,32
